16,RS Vania ,"Masker N95, Baju Coveral, Faceshield, Kacamata Google, Sepatu Boot, Sarung Kaki, Handscoon, Desinfektan, Handrub, Hand Wash, Multivitamin, Nutrisi, Susu",Bogor,Jawa Barat,Bantuan diserahkan langsung ke RS Vania,Hubungi kontak dan dikirim langsung ke Gudang Farmasi RS Vania,082299995332 (dr. Paulus| Ibu Vania| Humas & Marketing,https://www.instagram.com/p/B-O0exIDI63/,57,,1,1,
17,RS Kartika Husada Jatiasih,"Masker Bedah Disposable & Masker N95, Coverall Jumpsuit, Sarung Tangan, Sepatu Boot & Shoe Cover, Kacamata Goggle & Face Shield, Hand Sanitizer, Desinfektan, Multivitamin, Bantuan Lainnya dalam rangka penganganan COVID-19",Bekasi,Jawa Barat,BNI 3119840004 PT. Kartika Medika atau bantuan diserahkan langsung ke HUMAS RSKH JATIASIH ,Hubungi kontak,081519425515--02182435585 (Humas RSKH Jatiasih),https://www.instagram.com/p/B-LzyMjHYkA/,"4,57",,1,1,
18,RS Husada Utama Surabaya,"Masker N95, Masker Bedah, Cover all (full coat), Sarung Tangan, Faceshield, Kacamata Google, Sepatu Boots, Hand Sanitizer, Desinfektan.",Surabaya,Jawa Timur,Bantuan diserahkan langsung ke RS Husada Utama Surabaya,Hubungi kontak,0815571044 (Ni Made Puspita),https://www.instagram.com/p/B-PFDtsp5o6/,57,,1,1,Alamat: Jl. Mayjen Prof. Dr. Moestopo No.31-35 Surabaya
19,RS Graha Juanda,"Masker N95 & Bedah, Shoes Cover, Kacamata Google, Face Shield, Desinfektan, Hand Sanitizer, Kantong Jenazah, Alkohol 70% / 96%, Vitamin C dosis tinggi, Bantuan lainnya",Bekasi,Jawa Barat,Mandiri 1560006406849 PT.CMM,Hubungi kontak,083814149256 Bapak Ali Syaifuddin--081280485501 (Ibu Puji),https://www.instagram.com/p/B-QpiCjnWTC/,4,,1,1,www.rsgrahajuanda.co.id
20,UPT Puskesmas Sukasenang,"Cover All Suit, Face Shield, Google Glass, Gown Disposible, Hand Sanitizer, Masker N95, Masker Surgical, Nurse Cap, Sepatu Booth, Gloves, Shoes Cover",Garut,Jawa Barat,Bantuan diserahkan langsung ke UPT Puskesmas Sukasenang,Hubungi kontak,(0262) 2803743--08112462619,https://www.instagram.com/p/B-UPR76D7N3/,57,,1,1,"Alamat: Jl. Kh. Hasan Arif No.840 Desa Sukasenang, Kecamatan Banyuresmi Kabupaten Garut 44191. "
21,RSIA LIMIJATI,"Shoes Cover, Face Shield, Hand Sanitizer, Alkohol 70%, Baju Pelindung/ Hazmat, Masker N95, Surgical N95, Coverall Jumpsuit, Goggles, Sarung Tangan Disposable dan Steril",Bandung,Jawa Barat,Bantuan diserahkan langsung ke RSIA LIMIJATI,Hubungi kontak,08562101048 (Yenly)--0817226777 (Ria),https://www.instagram.com/p/B-OHbIiBiLm/,57,,1,1,"Web: www.rsia-limijati.com, Twitter: @rsialimijati, FB: Limijati Hospital"
23,RSU. ISLAM KLATEN,"Masker N95, Masker Bedah Dissposible, Coverall Jumpsuit, Face Shield, Googles, Hand Sanitizer, Alkohol, Handschoon (Sarung Tangan) Steril & Non Steril, Bantuan dalam bentuk lain dalam penanganan Covid19",Klaten,Jawa Tengah,Bantuan diserahkan langsung ke RSU Islam Klaten,Hubungi kontak,(0272) 322252-- 08995055007 (Agus)--085786009808 (Dimas),https://www.instagram.com/p/B-T5vETDbtp/,57,,,,
24,RS Aqidah Cileduk,Alat Pelindung Diri (APD).,Tangerang,Jawa Barat,Diserahkan langsung,,0895610830629 (Alfita)--082112108791 (Grace),https://www.instagram.com/p/B-WxM0egC6P/,57,,,,
25,RS Tk II Kartika Husada,Alat Pelindung Diri (APD).,Kubu Raya,Kalimantan Barat,,,"085245517361 (Kapten Ckm drg Hayu Ismaya)--082150004568 (Kapten Ckm Hatmono Widhi Raharso, S.Farm, Apt)",https://www.instagram.com/p/B-V_qavh6Fx/,57,,,,
26,RS Sentra Medika Cikarang,Alat Pelindung Diri (APD).,Cikarang,Jawa Barat,,,08170949494 (dr. Trifena Janti)--081298467535 (Angela)--085777388288 (Ari),https://www.instagram.com/p/B-RJjpThC7A/,57,,,,
27,Puskesmas Rancaekek,,Sumedang ,Jawa Barat,,,087821321421 (Ibu Anis P),https://www.instagram.com/p/B-S-6tIAntR/,57,,,,
28,RS Bethesda Yogyakarta,,Yogyakarta,DI Yogyakarta,BRI 051401035431506 Yakkum Cab.Yogya RS. Bethesda,,081391027999 (L. Endang Budiarti)--0813 2517 0333 (V. Susi Purwanti Rahayu)--082242009613 (L. Endang Sri Hadianti)--087879801719 (TH. Girindra Surya),https://www.instagram.com/p/B-Ebab6jpXW/,"4,57",,,,
29,RS Panti Rapih Yogyakarta,,Yogyakarta,DI Yogyakarta,BRI 148901000032565 RS Panti Rapih,,081392835663 (Rissa)--085228594999 (Vita),https://www.instagram.com/p/B-EnmwFh0lJ/,"4,57",,,,
30,RSUP Hasan Sadikin,,Bandung,Jawa Barat,Mandiri 1320005234761 Dr. dr. Ristaniah,,08122192424 (Siti Mahmudah),https://www.instagram.com/p/B-EY3cIgdgv/,"4,57",,,,
